AS, node_degree, IP_prefix_count, class
6315, 22, 20, Transit
6325, 37, 150, Transit
6327, 272, 3336, Transit
6332, 4, 43, Transit
6355, 1, 0, unclassified
6360, 4, 59, Transit
6364, 4, 47, Transit
6367, 1, 27, Transit
6368, 2, 3, Content
6372, 5, 10, Transit
6389, 16, 2044, Transit
6391, 6, 2, Transit
6400, 6, 97, Transit
6404, 8, 8, Content
6405, 2, 2, Transit
6407, 26, 286, Transit
6412, 14, 69, Transit
6419, 2, 45, Transit
6421, 22, 35, Transit
6423, 5, 19, Transit
6428, 5, 92, Transit
6429, 46, 45, Transit
6453, 719, 160, Transit
6456, 10, 4, Content
6458, 6, 0, Transit
6459, 15, 36, Transit
6461, 1611, 166, Transit
6462, 10, 5, Content
6471, 22, 543, Transit
6473, 1, 15, Transit
6479, 1, 4, Transit
6498, 2, 23, Transit
6503, 34, 1599, Transit
6505, 30, 17, Transit
6507, 360, 51, Transit
6509, 19, 4, Transit
6517, 47, 219, Transit
6528, 2, 44, Transit
6536, 6, 3, Transit
6539, 2, 98, Transit
6559, 4, 7, Transit
6568, 12, 159, Transit
6580, 1, 6, Transit
6582, 3, 3, Transit
6597, 2, 11, Transit
6614, 18, 147, Transit
6619, 453, 92, Transit
6620, 2, 97, Transit
6621, 9, 442, Transit
6623, 7, 15, Transit
6643, 439, 18, Content
6648, 472, 292, Transit
6653, 10, 40, Transit
6659, 34, 20, Transit
6660, 25, 16, Transit
6661, 518, 25, Transit
6662, 2, 3, Transit
6663, 687, 88, Transit
6667, 519, 3, Transit
6672, 4, 3, Transit
6673, 8, 4, Content
6677, 491, 9, Transit
6679, 25, 3, Transit
6682, 57, 0, Transit
6694, 2, 4, Transit
6697, 70, 228, Transit
6699, 1, 1, Transit
6700, 16, 69, Transit
6701, 4, 3, Transit
6702, 23, 3, Transit
6703, 36, 273, Transit
6712, 10, 126, Transit
6713, 9, 213, Transit
6714, 1, 0, Transit
6717, 436, 3, Content
6718, 3, 68, Transit
6720, 149, 2, Content
6723, 13, 2, Transit
6724, 76, 11, Transit
6730, 470, 49, Transit
6731, 52, 1, Transit
6734, 15, 5, Transit
6735, 57, 6, Transit
6736, 30, 9, Transit
6738, 15, 10, Content
6739, 91, 637, Transit
6747, 1, 0, Transit
6758, 15, 18, Transit
6762, 412, 81, Transit
6768, 53, 7, Transit
6769, 6, 10, Transit
6772, 22, 9, Transit
6774, 94, 13, Transit
6775, 10, 4, Transit
6776, 10, 18, Content
6777, 314, 0, Transit
6778, 1, 1, Transit
6779, 441, 2, Content
6782, 1, 13, Transit
6789, 42, 13, Transit
6798, 2, 5, Transit
6799, 30, 72, Transit
6802, 7, 1, Transit
6805, 74, 34, Transit
6812, 1, 8, Transit
6819, 11, 1, Content
6820, 5, 1, Transit
6821, 10, 46, Transit
6828, 4, 70, Transit
6830, 731, 851, Transit
6834, 43, 4, Transit
6846, 29, 5, Transit
6848, 40, 59, Transit
6849, 43, 1321, Transit
6853, 24, 0, Transit
6854, 15, 21, Transit
6855, 26, 19, Transit
6856, 16, 7, Transit
6858, 14, 1, Transit
6863, 8, 15, Transit
6866, 500, 143, Transit
6874, 1, 5, Transit
6876, 30, 22, Transit
6880, 1, 4, Transit
6881, 5, 2, Transit
6882, 2, 2, Content
6886, 37, 9, Transit
6893, 3, 6, Transit
6894, 34, 3, Transit
6895, 2, 4, Content
6898, 20, 8, Transit
6900, 2, 57, Transit
6903, 12, 8, Transit
6904, 5, 15, Transit
6905, 5, 21, Transit
6908, 70, 50, Transit
6910, 101, 179, Transit
6913, 1, 6, Transit
6921, 4, 24, Transit
6922, 32, 12, Transit
6939, 6512, 165, Transit
6966, 1, 6, Transit
6968, 6, 3, Content
6979, 1, 16, Transit
6981, 1, 0, Transit
6983, 38, 1680, Transit
6994, 6, 5, Transit
7004, 46, 47, Transit
7005, 2, 13, Content
7011, 2, 577, Transit
7012, 14, 6, Transit
7014, 6, 24, Transit
7015, 166, 68, Transit
7016, 76, 28, Transit
7018, 2355, 1485, Transit
7020, 7, 39, Content
7029, 466, 483, Transit
7046, 7, 360, Transit
7048, 31, 22, Transit
7049, 125, 83, Transit
7055, 1, 3, Transit
7057, 9, 7, Transit
7065, 8, 115, Transit
7086, 1, 18, unclassified
7091, 4, 5, Transit
7098, 1, 5, Transit
7106, 15, 10, Transit
7122, 15, 30, Transit
7131, 1, 74, Transit
7151, 1, 7, Transit
7155, 2, 809, Transit
7160, 465, 136, Content
7162, 35, 76, Transit
7175, 7, 3, Transit
7194, 2, 10, Transit
7212, 1, 9, unclassified
7219, 2, 2, Transit
7221, 1, 1, Transit
7224, 2, 11, Transit
7226, 4, 14, Transit
7247, 1, 9, unclassified
7250, 1, 39, Transit
7257, 1, 8, Transit
7270, 7, 53, Transit
7276, 1, 6, Transit
7296, 2, 20, Transit
7298, 1, 8, Transit
7303, 141, 1490, Transit
7311, 25, 29, Transit
7332, 17, 23, Transit
7341, 4, 5, Transit
7342, 102, 22, Transit
7349, 12, 93, Transit
7352, 1, 8, Transit
7363, 66, 50, Transit
7377, 1, 16, Transit
7381, 48, 359, Transit
7385, 233, 91, Transit
7393, 1, 18, Transit
7407, 1, 1, Transit
7418, 2, 117, Transit
7430, 4, 71, Transit
7438, 11, 104, Transit
7453, 3, 14, Transit
7459, 31, 360, Transit
7465, 1, 22, Transit
7468, 1, 32, Transit
7469, 1, 2, Transit
7470, 85, 704, Transit
7473, 240, 42, Transit
7474, 217, 353, Transit
7475, 9, 16, Transit
7477, 7, 15, Content
7479, 9, 36, Transit
7482, 1, 94, Transit
7489, 3, 78, Transit
7490, 13, 17, Transit
7496, 8, 37, Transit
7497, 22, 506, Transit
7500, 29, 4, Transit
7502, 1, 7, Transit
7505, 4, 2, Transit
7506, 7, 86, Transit
7511, 3, 11, Transit
7514, 3, 25, Transit
7516, 2, 11, Content
7521, 5, 1, Transit
7522, 8, 38, Transit
7524, 3, 49, Content
7527, 1, 1, Transit
7529, 22, 5, Transit
7530, 1, 2, Transit
7533, 3, 0, Transit
7539, 26, 24, Transit
7540, 12, 142, Transit
7543, 16, 58, Transit
7545, 81, 4195, Transit
7546, 6, 7, Transit
7551, 5, 20, Content
7552, 69, 2147, Transit
7560, 1, 30, unclassified
7562, 7, 93, Transit
7565, 1, 40, Transit
7568, 8, 1, Transit
7575, 796, 210, Transit
7577, 7, 18, Content
7578, 10, 8, Transit
7583, 5, 8, Transit
7594, 7, 5, Transit
7595, 4, 11, Content
7597, 4, 0, Transit
7598, 13, 2, Transit
7600, 11, 55, Transit
7602, 6, 159, Transit
7604, 20, 65, Transit
7610, 12, 1, Transit
7616, 3, 23, Transit
7617, 13, 0, Transit
7628, 3, 3, Content
7629, 3, 88, Transit
7631, 1, 12, Transit
7632, 11, 12, Transit
7633, 3, 216, Transit
7636, 2, 0, Transit
7642, 438, 99, Transit
7643, 13, 178, Transit
7647, 1, 4, unclassified
7649, 4, 0, Transit
7654, 5, 32, Transit
7660, 290, 7, Transit
7663, 2, 1, Content
7664, 1, 2, Transit
7667, 2, 2, Content
7668, 7, 8, Transit
7670, 21, 21, Transit
7672, 3, 19, Content
7679, 9, 37, Transit
7682, 7, 6, Transit
7687, 2, 23, Content
7690, 8, 11, Transit
7693, 29, 86, Transit
7700, 1, 25, unclassified
7703, 4, 14, Content
7712, 3, 4, Transit
7713, 941, 571, Transit
7714, 1, 5, unclassified
7717, 4, 0, Content
7718, 8, 23, Transit
7725, 57, 14, Transit
7735, 1, 3, Transit
7738, 209, 619, Transit
7741, 1, 1, Transit
7743, 1, 14, Transit
7748, 1, 2, Transit
7752, 12, 10, Transit
7754, 2, 28, Transit
7772, 4, 3, Content
7782, 29, 28, Transit
7784, 26, 12, Transit
7786, 1, 39, Transit
7788, 2, 2, Transit
7794, 7, 24, Transit
7795, 74, 97, Transit
7805, 1, 14, Transit
7806, 1, 16, Transit
7819, 7, 34, Transit
7821, 6, 50, Transit
7828, 4, 39, Transit
7829, 4, 18, Transit
7843, 58, 220, Transit
7849, 2, 16, Transit
7850, 30, 22, Transit
7861, 1, 30, Transit
7896, 1, 6, unclassified
7908, 12, 160, Transit
7911, 1, 0, Transit
7922, 165, 162, Transit
7925, 1, 6, Transit
7955, 1, 3, Transit
7961, 1, 6, Transit
7979, 20, 83, Transit
7991, 1, 66, Transit
7992, 27, 31, Transit
8001, 50, 40, Transit
8002, 24, 3, Transit
8008, 1, 16, Transit
8014, 1, 24, Transit
8015, 5, 12, Transit
8025, 4, 22, Transit
8047, 23, 26, Transit
8048, 22, 364, Transit
